sample_key,model,condition,task_id,repeat_index,transport_status,duration_seconds,routed_task_kind,response_disposition,source_status,source_cache_hit,regen_count,critical_escape,source_traceability,numeric_evidence_constraint,uncertainty_calibration,capability_gap_handling,end_to_end_success,obvious_error_risk,total,audit_flags
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,1,completed,25.189,,,,False,,False,1,2,2,2,2,2,11,
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,2,completed,23.251,,,,False,,False,1,1,2,2,0,1,7,
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,3,completed,30.286,,,,False,,False,1,2,1,0,2,1,7,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,1,completed,28.43,,,,False,,False,1,2,2,2,2,2,11,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,2,completed,20.205,,,,False,,False,0,2,2,0,2,2,8,
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|3,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,3,completed,24.032,,,,False,,False,0,2,2,0,2,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|1,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,1,completed,22.039,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|2,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,2,completed,18.349,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|3,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,3,completed,16.713,,,,False,,False,0,2,1,2,1,2,8,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|1,gpt-5.6-sol,direct,V02_04_act_dr6_ns,1,completed,17.721,,,,False,,False,1,2,2,1,1,2,9,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|2,gpt-5.6-sol,direct,V02_04_act_dr6_ns,2,completed,18.708,,,,False,,False,0,2,2,1,1,2,8,
gpt-5.6-sol|direct|V02_04_act_dr6_ns|3,gpt-5.6-sol,direct,V02_04_act_dr6_ns,3,completed,19.858,,,,False,,False,0,2,2,1,1,2,8,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|1,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,1,completed,19.804,,,,False,,False,0,0,1,2,0,0,3,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|2,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,2,completed,18.624,,,,False,,False,0,0,1,2,0,0,3,
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|3,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,3,completed,20.615,,,,False,,False,1,0,0,1,0,0,2,
gpt-5.6-sol|direct|V02_06_pantheon_z12|1,gpt-5.6-sol,direct,V02_06_pantheon_z12,1,completed,18.015,,,,False,,False,1,0,0,0,0,1,2,
gpt-5.6-sol|direct|V02_06_pantheon_z12|2,gpt-5.6-sol,direct,V02_06_pantheon_z12,2,completed,15.819,,,,False,,False,1,0,0,0,0,1,2,
gpt-5.6-sol|direct|V02_06_pantheon_z12|3,gpt-5.6-sol,direct,V02_06_pantheon_z12,3,completed,16.858,,,,False,,False,1,0,1,0,0,1,3,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|1,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,1,completed,14.857,,,,False,,False,1,2,1,1,1,1,7,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|2,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,2,completed,15.154,,,,False,,False,1,2,1,1,1,1,7,
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|3,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,3,completed,17.254,,,,False,,False,1,2,2,1,1,2,9,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|1,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,1,completed,15.0,,,,False,,True,1,0,1,2,0,0,4,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|2,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,2,completed,16.775,,,,False,,True,1,0,1,2,0,0,4,
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|3,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,3,completed,21.42,,,,False,,True,1,0,0,0,0,0,1,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,1,completed,0.514,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,2,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,3,completed,0.01,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,1,completed,0.01,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,2,completed,0.009,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|3,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,3,completed,0.009,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|1,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,1,completed,0.018,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|2,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,2,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_03_act_dr6_ee_h0|3,gpt-5.6-sol,standard_astro,V02_03_act_dr6_ee_h0,3,completed,0.011,deterministic_source_check,full,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_04_act_dr6_ns|1,gpt-5.6-sol,standard_astro,V02_04_act_dr6_ns,1,completed,0.012,deterministic_source_check,limited,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_04_act_dr6_ns|2,gpt-5.6-sol,standard_astro,V02_04_act_dr6_ns,2,completed,0.011,deterministic_source_check,limited,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_04_act_dr6_ns|3,gpt-5.6-sol,standard_astro,V02_04_act_dr6_ns,3,completed,0.012,deterministic_source_check,limited,verified_exact,True,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_05_h0_anchor_regression|1,gpt-5.6-sol,standard_astro,V02_05_h0_anchor_regression,1,completed,0.011,general,full,,False,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_05_h0_anchor_regression|2,gpt-5.6-sol,standard_astro,V02_05_h0_anchor_regression,2,completed,0.01,general,full,,False,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_05_h0_anchor_regression|3,gpt-5.6-sol,standard_astro,V02_05_h0_anchor_regression,3,completed,0.014,general,full,,False,0,False,2,2,2,2,2,2,12,
gpt-5.6-sol|standard_astro|V02_06_pantheon_z12|1,gpt-5.6-sol,standard_astro,V02_06_pantheon_z12,1,completed,0.032,general,limited,verified_registry,False,1,False,2,2,2,2,2,2,12,
