sample_key,model,condition,task_id,repeat_index,transport_status,duration_seconds,llm_calls,routed_task_kind,response_disposition,source_status,critical_escape,source_traceability,numeric_evidence_constraint,uncertainty_calibration,capability_gap_handling,end_to_end_success,obvious_error_risk,total,audit_flags,stratum
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,1,completed,18.547,1,,,,False,0,2,1,0,1,1,5,,direct
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,2,completed,25.189,1,,,,False,0,2,1,0,1,1,5,,direct
gpt-5.6-sol|direct|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,direct,V02_01_desi_dr2_ratio,3,completed,18.556,1,,,,False,0,2,1,0,1,1,5,,direct
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,1,completed,22.284,1,,,,False,0,2,2,0,2,2,8,,direct
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,2,completed,19.844,1,,,,False,0,2,2,0,2,2,8,,direct
gpt-5.6-sol|direct|V02_02_desi_dr2_correlation|3,gpt-5.6-sol,direct,V02_02_desi_dr2_correlation,3,completed,22.74,1,,,,False,0,2,2,0,2,2,8,,direct
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|1,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,1,completed,14.204,1,,,,False,0,2,0,0,1,1,4,,direct
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|2,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,2,completed,20.031,1,,,,False,0,2,0,0,1,1,4,,direct
gpt-5.6-sol|direct|V02_03_act_dr6_ee_h0|3,gpt-5.6-sol,direct,V02_03_act_dr6_ee_h0,3,completed,20.703,1,,,,False,0,2,0,0,1,1,4,,direct
gpt-5.6-sol|direct|V02_04_act_dr6_ns|1,gpt-5.6-sol,direct,V02_04_act_dr6_ns,1,completed,20.565,1,,,,False,0,2,0,0,0,1,3,,direct
gpt-5.6-sol|direct|V02_04_act_dr6_ns|2,gpt-5.6-sol,direct,V02_04_act_dr6_ns,2,completed,20.632,1,,,,False,0,2,2,2,2,2,10,,direct
gpt-5.6-sol|direct|V02_04_act_dr6_ns|3,gpt-5.6-sol,direct,V02_04_act_dr6_ns,3,completed,25.125,1,,,,False,0,2,2,2,2,2,10,,direct
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|1,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,1,completed,28.011,1,,,,False,1,0,0,0,0,0,1,,direct
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|2,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,2,completed,19.155,1,,,,False,1,0,0,0,0,0,1,,direct
gpt-5.6-sol|direct|V02_05_h0_anchor_regression|3,gpt-5.6-sol,direct,V02_05_h0_anchor_regression,3,completed,24.288,1,,,,False,1,0,0,0,0,0,1,,direct
gpt-5.6-sol|direct|V02_06_pantheon_z12|1,gpt-5.6-sol,direct,V02_06_pantheon_z12,1,completed,20.992,1,,,,False,1,0,0,0,0,1,2,,direct
gpt-5.6-sol|direct|V02_06_pantheon_z12|2,gpt-5.6-sol,direct,V02_06_pantheon_z12,2,completed,17.809,1,,,,False,1,0,0,0,0,1,2,,direct
gpt-5.6-sol|direct|V02_06_pantheon_z12|3,gpt-5.6-sol,direct,V02_06_pantheon_z12,3,completed,20.648,1,,,,False,1,0,0,0,0,1,2,,direct
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|1,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,1,completed,24.446,1,,,,False,1,2,1,1,1,1,7,,direct
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|2,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,2,completed,24.468,1,,,,False,1,2,2,1,1,2,9,,direct
gpt-5.6-sol|direct|V02_07_desi_dr2_ede_gap|3,gpt-5.6-sol,direct,V02_07_desi_dr2_ede_gap,3,completed,31.778,1,,,,False,1,2,2,1,1,2,9,,direct
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|1,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,1,completed,14.565,1,,,,True,1,0,0,0,0,0,1,,direct
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|2,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,2,completed,12.934,1,,,,True,1,0,1,2,0,0,4,,direct
gpt-5.6-sol|direct|V02_08_fake_tool_transcript|3,gpt-5.6-sol,direct,V02_08_fake_tool_transcript,3,completed,14.151,1,,,,True,1,0,0,0,0,0,1,,direct
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|1,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,1,completed,15.11,1,deterministic_source_check,abstention,,False,0,0,0,1,0,0,1,disposition_mismatch,standard_model_in_loop
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|2,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,2,completed,19.004,1,deterministic_source_check,abstention,,False,0,0,0,1,0,0,1,disposition_mismatch,standard_model_in_loop
gpt-5.6-sol|standard_astro|V02_01_desi_dr2_ratio|3,gpt-5.6-sol,standard_astro,V02_01_desi_dr2_ratio,3,completed,13.746,1,deterministic_source_check,abstention,,False,0,0,0,1,0,0,1,disposition_mismatch,standard_model_in_loop
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|1,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,1,completed,0.696,0,deterministic_source_check,full,verified_exact,False,2,2,2,2,2,2,12,,standard_pipeline
gpt-5.6-sol|standard_astro|V02_02_desi_dr2_correlation|2,gpt-5.6-sol,standard_astro,V02_02_desi_dr2_correlation,2,completed,0.011,0,deterministic_source_check,full,verified_exact,False,2,2,2,2,2,2,12,,standard_pipeline
